0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Disaster Type,Magnitude,Magnitude Scale,Minimum Temperature,Maximum Temperature,Dew Point,Temperature,Wind Speed Min,Wind Speed Max,Wind Speed Mean,Wind Direction,Relative Humidity Min,Relative Humidity Max,Relative Humidity Mean,Weather Type,Precipitation,Cloud Cover,Sea Level Pressure,Precipitation Cover
Storm,,Kph,,,,,,,,,,,,,0.0,,,
Flood,17970.0,Km2,60.9,64.5,61.6,63.3,0.0,28.3,18.2,326.04,88.01,100.0,94.26,"Mist, Light Drizzle, Rain, Thunderstorm, Rain Showers, Heavy Rain, Light Rain",1.91,99.2,1010.8,16.67
Flood,17970.0,Km2,60.9,66.3,57.9,63.7,0.0,25.3,9.5,287.0,68.32,93.79,81.94,"Light Drizzle, Rain, Light Rain",0.71,95.5,1016.5,9.09
Flood,17970.0,Km2,60.9,64.5,55.6,62.9,0.0,16.9,6.8,320.64,59.78,87.93,77.13,"Mist, Rain, Light Rain",0.08,90.5,1019.6,4.35
Flood,17970.0,Km2,60.8,69.9,53.0,64.2,0.0,9.2,3.4,235.08,49.16,82.58,67.64,Light Rain,0.0,80.4,1019.6,0.0
Flood,17970.0,Km2,59.1,68.2,52.5,63.5,0.0,4.7,0.7,209.0,49.14,77.16,67.96,,0.0,93.6,1020.8,0.0
Flood,188000.0,Km2,75.3,82.5,77.0,78.9,0.0,3.4,1.1,248.57,83.79,100.0,94.17,"Thunderstorm, Rain, Rain Showers, Light Rain, Sky Coverage Increasing",0.0,92.1,1009.3,0.0
Flood,188000.0,Km2,76.2,91.5,76.9,84.9,0.0,3.4,1.3,210.0,63.0,99.99,78.06,"Mist, Thunderstorm Without Precipitation",0.0,60.0,1008.7,0.0
Flood,188000.0,Km2,75.3,91.5,78.9,85.5,0.0,5.8,1.6,215.56,65.81,100.0,80.8,"Lightning Without Thunder, Sky Unchanged",0.0,80.0,1006.3,0.0
Flood,188000.0,Km2,75.3,90.6,77.2,82.9,0.0,3.4,1.4,169.0,66.59,100.0,83.81,"Drizzle, Thunderstorm, Rain, Rain Showers",0.0,86.4,1006.5,0.0
Flood,188000.0,Km2,75.3,87.9,76.9,81.6,0.0,8.1,2.8,174.17,66.39,100.0,86.14,"Drizzle, Rain, Light Rain, Sky Coverage Decreasing",0.0,92.1,1006.6,0.0
Flood,188000.0,Km2,75.3,86.1,77.3,80.4,0.0,8.1,3.0,175.0,71.5,100.0,90.77,"Drizzle, Light Rain, Sky Coverage Increasing",0.0,96.4,1008.8,0.0
Flood,188000.0,Km2,76.2,87.9,76.2,81.2,0.0,8.1,3.8,180.0,70.12,100.0,85.41,"Drizzle, Light Drizzle, Rain, Thunderstorm Without Precipitation, Sky Coverage Increasing",0.0,94.7,1008.9,0.0
Flood,188000.0,Km2,75.8,89.7,75.8,83.2,0.0,9.2,3.7,175.0,61.24,97.01,79.65,Sky Unchanged,0.0,87.1,1008.0,0.0
Flood,188000.0,Km2,75.3,91.5,75.6,83.8,0.0,6.9,2.3,170.83,64.92,94.15,77.43,,0.0,70.0,1008.3,0.0
Flood,188000.0,Km2,78.9,93.3,78.3,88.6,0.0,3.4,0.8,114.0,63.15,92.01,72.39,,0.0,71.0,1007.3,0.0
Flood,188000.0,Km2,78.9,95.1,78.3,88.6,0.0,5.8,2.0,209.09,53.03,94.24,72.81,,0.0,67.2,1007.0,0.0
Flood,188000.0,Km2,80.3,95.1,79.3,89.3,0.0,6.9,2.6,297.78,59.74,93.16,73.06,Thunderstorm Without Precipitation,0.0,67.7,1004.1,0.0
Flood,188000.0,Km2,80.7,96.9,77.8,88.1,0.0,5.8,1.7,232.73,53.03,92.11,72.79,"Lightning Without Thunder, Thunderstorm Without Precipitation",0.0,59.2,1003.2,0.0
Flood,188000.0,Km2,80.3,95.1,77.7,87.8,0.0,2.2,1.2,214.44,53.03,95.98,73.53,"Lightning Without Thunder, Thunderstorm, Thunderstorm Without Precipitation, Rain Showers",0.0,85.7,1006.2,0.0
Flood,188000.0,Km2,76.2,89.7,79.7,83.7,0.0,3.4,1.2,209.0,74.96,100.0,88.56,"Lightning Without Thunder, Thunderstorm",0.0,92.1,1008.4,0.0
Flood,188000.0,Km2,75.3,88.8,76.8,82.7,0.0,4.7,1.3,273.33,67.7,100.0,83.37,"Drizzle, Light Rain, Sky Coverage Decreasing",0.0,65.8,1009.3,0.0
Flood,188000.0,Km2,78.5,93.3,78.1,87.1,0.0,9.2,3.4,227.27,60.37,95.98,75.65,Mist,0.0,65.7,1007.6,0.0
Flood,188000.0,Km2,78.9,93.3,79.1,87.8,0.0,4.7,1.1,306.0,63.15,97.08,76.47,Fog,0.0,43.8,1005.5,0.0
Flood,188000.0,Km2,82.1,96.9,79.7,89.3,0.0,3.4,1.7,266.0,57.55,92.66,74.25,Thunderstorm Without Precipitation,0.0,67.7,1005.4,0.0
Flood,188000.0,Km2,78.9,93.3,79.0,86.0,0.0,9.2,1.5,195.56,63.15,100.0,80.95,"Thunderstorm, Thunderstorm Without Precipitation, Rain Showers, Sky Coverage Increasing",0.0,82.9,1005.7,0.0
Flood,188000.0,Km2,76.2,86.1,79.5,81.2,0.0,2.2,0.9,178.18,75.99,100.0,94.95,"Drizzle, Thunderstorm, Rain, Rain Showers, Light Rain, Sky Coverage Decreasing",0.0,91.5,1004.5,0.0
Flood,188000.0,Km2,77.1,82.5,78.1,79.1,0.0,6.9,2.5,184.0,83.81,100.0,96.91,"Drizzle, Light Drizzle, Thunderstorm, Rain Showers, Light Rain, Sky Coverage Increasing",0.0,100.0,1004.5,0.0
Flood,188000.0,Km2,77.1,88.4,78.8,83.0,0.0,5.8,1.4,255.71,76.19,100.0,87.61,"Lightning Without Thunder, Sky Coverage Decreasing",0.0,92.3,1005.4,0.0
Flood,188000.0,Km2,75.3,89.7,77.5,82.5,0.0,9.2,2.7,213.33,72.78,100.0,85.42,"Drizzle, Thunderstorm, Thunderstorm Without Precipitation, Rain Showers",0.0,94.7,1007.3,0.0
Flood,188000.0,Km2,75.3,80.9,76.0,76.8,0.0,4.7,0.8,152.0,90.34,100.0,97.31,"Drizzle, Light Drizzle, Light Rain, Sky Coverage Decreasing",0.0,96.9,1009.1,0.0
Flood,188000.0,Km2,75.3,80.7,75.8,76.7,0.0,5.8,2.6,170.71,83.7,100.0,97.04,"Drizzle, Light Rain, Sky Coverage Decreasing",0.0,96.0,1010.4,0.0
Flood,188000.0,Km2,75.3,91.5,77.2,81.9,0.0,5.8,1.5,180.0,66.02,100.0,86.48,Rain Showers,0.0,80.0,1010.6,0.0
Flood,188000.0,Km2,75.3,91.5,76.9,83.4,0.0,4.7,2.3,194.0,60.37,100.0,81.59,Thunderstorm Without Precipitation,0.0,73.3,1011.8,0.0
Flood,188000.0,Km2,78.0,87.9,77.2,84.2,0.0,5.8,1.3,237.14,68.28,94.28,80.26,"Thunderstorm Without Precipitation, Sky Coverage Increasing",0.0,70.0,1014.2,0.0
Flood,188000.0,Km2,77.1,92.4,76.5,85.1,0.0,3.4,1.5,227.27,57.65,94.82,76.25,Mist,0.0,60.0,1013.0,0.0
Flood,188000.0,Km2,76.4,93.3,76.8,86.5,0.0,5.8,1.1,241.25,59.29,92.48,73.63,Mist,0.0,45.7,1011.3,0.0
Flood,188000.0,Km2,77.1,93.5,77.1,87.1,0.0,5.8,1.4,248.75,55.75,94.25,73.38,Mist,0.0,56.9,1012.0,0.0
Flood,188000.0,Km2,75.3,93.3,76.4,87.0,0.0,5.8,2.0,318.89,56.06,94.15,71.97,Mist,0.0,39.2,1011.9,0.0
Flood,188000.0,Km2,76.4,94.2,76.7,87.1,0.0,4.7,1.4,318.57,54.52,94.28,72.68,Mist,0.0,50.0,1011.1,0.0
Flood,188000.0,Km2,72.6,91.5,76.3,83.5,0.0,10.3,2.2,287.5,66.59,100.0,80.05,Thunderstorm,0.0,52.5,1011.5,0.0
Flood,,Km2,68.1,91.5,57.4,79.8,0.0,20.1,10.1,230.0,22.98,93.98,58.48,Mist,0.0,50.0,1008.1,0.0
Flood,,Km2,,,,,,,,,,,,,0.0,,,
Flood,,Km2,,,,,,,,,,,,,0.0,,,
Flood,,Km2,,,,,,,,,,,,,0.0,,,
Flood,,Km2,62.7,66.3,60.9,64.5,0.0,0.0,0.0,,82.76,93.84,88.3,,0.0,30.0,1014.0,0.0
Flood,51560.0,Km2,48.5,77.0,50.3,61.5,0.0,8.5,1.2,208.11,37.65,97.18,70.72,"Mist, Light Rain, Smoke Or Haze",0.0,17.2,1021.4,0.0
Flood,51560.0,Km2,53.8,68.4,53.2,59.7,0.0,7.8,3.3,54.53,61.56,91.44,79.88,"Mist, Rain Showers, Smoke Or Haze",0.0,46.7,1016.1,4.17
Flood,51560.0,Km2,39.8,62.8,50.9,56.6,2.5,19.3,11.9,242.0,61.17,89.87,81.4,"Mist, Rain Showers, Light Rain",0.19,91.1,1001.4,58.33
